Sample	ALE score (neglog)	Merfin Completness	Merfin QV*	Error-free bases (%)	REAPR erros	REAPR fcd	REAPR low	Assembly length	contigs	N50	Largest contig	auN	BUSCO complete (%)	BUSCO single (%)	BUSCO duplicated (%)	BUSCO fragmented (%)	BUSCO missing (%)	BUSCO SEARCHED GENES	BUSCO complete	BUSCO single	BUSCO duplicated	BUSCO fragmented	BUSCO missing	ALE normalized	Score
Ctrachomatis_ctracho_10persnp_default	-49800834.474363	4.956	9.82	95.19	67.0	27.0	40.0	1051969.0	2.0	1044459.0	1044459.0	1037056.2	6.2	6.2	0.0	1.9	91.9	533.0	33.0	33.0	0.0	10.0	490.0	0.0	48.31128394271186
Ctrachomatis_ctracho_5inversions_default	-1749818.467861	50.002	47.54	98.68	20.0	10.0	10.0	1051969.0	2.0	1044459.0	1044459.0	1037056.2	97.7	97.7	0.0	0.9	1.4	533.0	521.0	521.0	0.0	5.0	7.0	1.0	97.10979921135309
Ctrachomatis_ctracho_5inversions_split	-1735855.632854	50.002	50.02	98.68	2.0	1.0	1.0	1051969.0	11.0	307465.0	357725.0	233566.3	97.9	97.9	0.0	0.8	1.3	533.0	522.0	522.0	0.0	4.0	7.0	1.0	88.26884273855764
Ctrachomatis_good_assembly_00	-4445439.682366	45.577	23.83	98.01	10.0	4.0	6.0	1045743.0	2.0	1038291.0	1038291.0	1030945.2	10.1	10.1	0.0	13.5	76.4	533.0	54.0	54.0	0.0	72.0	407.0	0.94	57.922051840460384
Ctrachomatis_good_assembly_01	-4538572.812404	45.82	23.78	96.96	35.0	17.0	18.0	1052464.0	5.0	1038268.0	1038268.0	1024320.4	9.8	9.8	0.0	12.2	78.0	533.0	52.0	52.0	0.0	65.0	416.0	0.94	57.782489466595344
Ctrachomatis_good_assembly_02	-4441074.143732	45.627	23.88	97.79	14.0	8.0	6.0	1045826.0	2.0	1038377.0	1038377.0	1031034.1	11.8	11.8	0.0	13.5	74.7	533.0	63.0	63.0	0.0	72.0	398.0	0.94	58.40139239604628
Ctrachomatis_good_assembly_03	-4416756.074931	45.977	23.91	98.53	18.0	8.0	10.0	1053319.0	2.0	1038378.0	1038378.0	1023860.9	8.6	8.6	0.0	15.2	76.2	533.0	46.0	46.0	0.0	81.0	406.0	0.94	56.95763497175894
Ctrachomatis_good_assembly_04	-4394757.403753	45.695	23.95	97.79	13.0	7.0	6.0	1045885.0	2.0	1038428.0	1038428.0	1031077.3	8.3	8.3	0.0	12.4	79.3	533.0	44.0	44.0	0.0	66.0	423.0	0.94	57.70293689295709
Ctrachomatis_good_assembly_05	-4033871.303693	48.326	26.52	96.81	41.0	13.0	28.0	1065018.0	1.0	1065018.0	1065018.0	1065018.0	33.4	33.4	0.0	18.4	48.2	533.0	178.0	178.0	0.0	98.0	257.0	0.95	64.73334702168536
Ctrachomatis_good_assembly_06	-2888327.912588	48.198	27.71	98.8	11.0	5.0	6.0	1050426.0	2.0	1042913.0	1042913.0	1035507.5	36.0	36.0	0.0	20.6	43.4	533.0	192.0	192.0	0.0	110.0	231.0	0.97	65.45275506225614
Ctrachomatis_good_assembly_07	-3263622.498036	47.797	27.57	98.79	6.0	3.0	3.0	1042821.0	1.0	1042821.0	1042821.0	1042821.0	35.8	35.8	0.0	19.1	45.1	533.0	191.0	191.0	0.0	102.0	240.0	0.97	65.9139584574012
Ctrachomatis_good_assembly_08	-3009131.928076	48.19	27.69	98.55	20.0	8.0	12.0	1050385.0	2.0	1042868.0	1042868.0	1035458.6	37.3	37.3	0.0	22.5	40.2	533.0	199.0	199.0	0.0	120.0	214.0	0.97	65.07558367440765
Ctrachomatis_good_assembly_09	-3548682.15892	47.767	27.54	98.78	9.0	5.0	4.0	1042500.0	1.0	1042500.0	1042500.0	1042500.0	36.4	36.4	0.0	18.6	45.0	533.0	194.0	194.0	0.0	99.0	240.0	0.96	66.23955883847137
Ctrachomatis_great_assembly_00	-1766189.45884	49.89	39.34	98.99	5.0	3.0	2.0	1051794.0	2.0	1044289.0	1044289.0	1036891.1	92.9	92.9	0.0	3.4	3.7	533.0	495.0	495.0	0.0	18.0	20.0	1.0	92.8585969890882
Ctrachomatis_great_assembly_01	-1761301.975875	49.897000000000006	39.57	99.02	4.0	2.0	2.0	1051803.0	2.0	1044294.0	1044294.0	1036892.2	94.2	94.2	0.0	2.8	3.0	533.0	502.0	502.0	0.0	15.0	16.0	1.0	93.55381374649954
Ctrachomatis_great_assembly_02	-1751189.845363	49.909	40.02	99.02	4.0	2.0	2.0	1051824.0	2.0	1044312.0	1044312.0	1036907.3	92.7	92.7	0.0	3.4	3.9	533.0	494.0	494.0	0.0	18.0	21.0	1.0	92.98012620209644
Ctrachomatis_great_assembly_03	-1745316.742687	49.914	40.22	99.01	4.0	2.0	2.0	1051822.0	2.0	1044321.0	1044321.0	1036927.0	92.9	92.9	0.0	3.0	4.1	533.0	495.0	495.0	0.0	16.0	22.0	1.0	93.23006179791304
Ctrachomatis_great_assembly_04	-1745958.366356	49.914	40.19	98.99	4.0	2.0	2.0	1051828.0	2.0	1044320.0	1044320.0	1036919.2	92.3	92.3	0.0	3.2	4.5	533.0	492.0	492.0	0.0	17.0	24.0	1.0	92.95634717639643
Ctrachomatis_great_assembly_05	-1721049.347357	49.963	42.79	99.03	4.0	2.0	2.0	1051924.0	2.0	1044419.0	1044419.0	1037021.1	94.9	94.9	0.0	2.8	2.3	533.0	506.0	506.0	0.0	15.0	12.0	1.0	94.58409519936207
Ctrachomatis_great_assembly_06	-1718706.975184	49.959	42.48	99.0	4.0	2.0	2.0	1051927.0	2.0	1044418.0	1044418.0	1037016.2	95.9	95.9	0.0	2.1	2.0	533.0	511.0	511.0	0.0	11.0	11.0	1.0	95.06064611385459
Ctrachomatis_great_assembly_07	-1720693.193564	49.963	42.68	99.04	3.0	1.0	2.0	1051944.0	2.0	1044435.0	1044435.0	1037033.2	95.5	95.5	0.0	1.5	3.0	533.0	509.0	509.0	0.0	8.0	16.0	1.0	95.20835709424453
Ctrachomatis_great_assembly_08	-1719654.772127	49.963	42.78	99.0	5.0	3.0	2.0	1051915.0	2.0	1044409.0	1044409.0	1037010.1	95.9	95.9	0.0	1.9	2.2	533.0	511.0	511.0	0.0	10.0	12.0	1.0	95.19778677172417
Ctrachomatis_great_assembly_09	-1723803.033781	49.961	42.58	98.99	5.0	2.0	3.0	1051927.0	2.0	1044416.0	1044416.0	1037012.3	95.9	95.9	0.0	1.5	2.6	533.0	511.0	511.0	0.0	8.0	14.0	1.0	95.284218575446
Ctrachomatis_ref	-1667378.233544	50.012	50.59	99.12	0.0	0.0	0.0	1051969.0	2.0	1044459.0	1044459.0	1037056.2	98.3	98.3	0.0	0.6	1.1	533.0	524.0	524.0	0.0	3.0	6.0	1.0	98.40496864080689
